District,Date,Rainfall_1Day,Rainfall_3Day,Rainfall_7Day,Rainfall_7Day_Avg
Ariyalur,2020-04-27,0.7,7.2,8.0,1.14
Ariyalur,2020-04-28,4.9,12.1,12.9,1.84
Ariyalur,2020-04-29,1.5,7.1,14.0,2.0
Ariyalur,2020-04-30,4.4,10.8,18.4,2.63
Ariyalur,2020-05-01,0.0,5.9,18.0,2.57
Ariyalur,2020-05-02,0.0,4.4,18.0,2.57
Ariyalur,2020-05-03,0.1,0.1,11.6,1.66
Ariyalur,2020-05-04,0.0,0.1,10.9,1.56
Ariyalur,2020-05-05,0.0,0.1,6.0,0.86
Ariyalur,2020-05-06,0.1,0.1,4.6,0.66
Ariyalur,2020-05-07,0.2,0.3,0.4,0.06
Ariyalur,2020-05-08,0.0,0.3,0.4,0.06
Ariyalur,2020-05-09,0.0,0.2,0.4,0.06
Ariyalur,2020-05-10,0.0,0.0,0.3,0.04
Ariyalur,2020-05-11,0.5,0.5,0.8,0.11
Ariyalur,2020-05-12,2.1,2.6,2.9,0.41
Ariyalur,2020-05-13,0.5,3.1,3.3,0.47
Ariyalur,2020-05-14,0.0,2.6,3.1,0.44
Ariyalur,2020-05-15,0.6,1.1,3.7,0.53
Ariyalur,2020-05-16,1.0,1.6,4.7,0.67
Ariyalur,2020-05-17,1.2,2.8,5.9,0.84
Ariyalur,2020-05-18,13.1,15.3,18.5,2.64
Ariyalur,2020-05-19,0.0,14.3,16.4,2.34
Ariyalur,2020-05-20,0.0,13.1,15.9,2.27
Ariyalur,2020-05-21,0.0,0.0,15.9,2.27
Ariyalur,2020-05-22,0.0,0.0,15.3,2.19
Ariyalur,2020-05-23,0.0,0.0,14.3,2.04
Ariyalur,2020-05-24,0.0,0.0,13.1,1.87
Ariyalur,2020-05-25,0.0,0.0,0.0,0.0
Ariyalur,2020-05-26,0.0,0.0,0.0,0.0
Ariyalur,2020-05-27,0.2,0.2,0.2,0.03
Ariyalur,2020-05-28,2.6,2.8,2.8,0.4
Ariyalur,2020-05-29,0.3,3.1,3.1,0.44
Ariyalur,2020-05-30,0.0,2.9,3.1,0.44
Ariyalur,2020-05-31,0.2,0.5,3.3,0.47
Ariyalur,2020-06-01,1.3,1.5,4.6,0.66
Ariyalur,2020-06-02,2.7,4.2,7.3,1.04
Ariyalur,2020-06-03,0.8,4.8,7.9,1.13
Ariyalur,2020-06-04,0.7,4.2,6.0,0.86
Ariyalur,2020-06-05,5.6,7.1,11.3,1.61
Ariyalur,2020-06-06,2.8,9.1,14.1,2.01
Ariyalur,2020-06-07,0.7,9.1,14.6,2.09
Ariyalur,2020-06-08,0.0,3.5,13.3,1.9
Ariyalur,2020-06-09,0.1,0.8,10.7,1.53
Ariyalur,2020-06-10,1.0,1.1,10.9,1.56
Ariyalur,2020-06-11,0.0,1.1,10.2,1.46
Ariyalur,2020-06-12,0.0,1.0,4.6,0.66
Ariyalur,2020-06-13,0.0,0.0,1.8,0.26
Ariyalur,2020-06-14,0.0,0.0,1.1,0.16
Ariyalur,2020-06-15,0.0,0.0,1.1,0.16
Ariyalur,2020-06-16,0.1,0.1,1.1,0.16
Ariyalur,2020-06-17,0.6,0.7,0.7,0.1
Ariyalur,2020-06-18,0.0,0.7,0.7,0.1
Ariyalur,2020-06-19,0.2,0.8,0.9,0.13
Ariyalur,2020-06-20,0.1,0.3,1.0,0.14
Ariyalur,2020-06-21,1.2,1.5,2.2,0.31
Ariyalur,2020-06-22,0.2,1.5,2.4,0.34
Ariyalur,2020-06-23,0.0,1.4,2.3,0.33
Ariyalur,2020-06-24,5.7,5.9,7.4,1.06
Ariyalur,2020-06-25,15.3,21.0,22.7,3.24
Ariyalur,2020-06-26,2.5,23.5,25.0,3.57
Ariyalur,2020-06-27,0.1,17.9,25.0,3.57
Ariyalur,2020-06-28,4.2,6.8,28.0,4.0
Ariyalur,2020-06-29,15.5,19.8,43.3,6.19
Ariyalur,2020-06-30,0.0,19.7,43.3,6.19
Ariyalur,2020-07-01,0.0,15.5,37.6,5.37
Ariyalur,2020-07-02,0.1,0.1,22.4,3.2
Ariyalur,2020-07-03,2.5,2.6,22.4,3.2
Ariyalur,2020-07-04,0.4,3.0,22.7,3.24
Ariyalur,2020-07-05,0.0,2.9,18.5,2.64
Ariyalur,2020-07-06,1.0,1.4,4.0,0.57
Ariyalur,2020-07-07,1.1,2.1,5.1,0.73
Ariyalur,2020-07-08,2.0,4.1,7.1,1.01
Ariyalur,2020-07-09,8.4,11.5,15.4,2.2
Ariyalur,2020-07-10,2.7,13.1,15.6,2.23
Ariyalur,2020-07-11,2.1,13.2,17.3,2.47
Ariyalur,2020-07-12,1.5,6.3,18.8,2.69
Ariyalur,2020-07-13,2.4,6.0,20.2,2.89
Ariyalur,2020-07-14,1.3,5.2,20.4,2.91
Ariyalur,2020-07-15,0.3,4.0,18.7,2.67
Ariyalur,2020-07-16,0.2,1.8,10.5,1.5
Ariyalur,2020-07-17,0.0,0.5,7.8,1.11
Ariyalur,2020-07-18,0.2,0.4,5.9,0.84
Ariyalur,2020-07-19,8.4,8.6,12.8,1.83
Ariyalur,2020-07-20,16.0,24.6,26.4,3.77
Ariyalur,2020-07-21,0.0,24.4,25.1,3.59
Ariyalur,2020-07-22,0.1,16.1,24.9,3.56
Ariyalur,2020-07-23,5.9,6.0,30.6,4.37
Ariyalur,2020-07-24,4.9,10.9,35.5,5.07
Ariyalur,2020-07-25,8.4,19.2,43.7,6.24
Ariyalur,2020-07-26,0.0,13.3,35.3,5.04
Ariyalur,2020-07-27,0.0,8.4,19.3,2.76
Ariyalur,2020-07-28,2.3,2.3,21.6,3.09
Ariyalur,2020-07-29,10.3,12.6,31.8,4.54
Ariyalur,2020-07-30,0.3,12.9,26.2,3.74
Ariyalur,2020-07-31,8.2,18.8,29.5,4.21
Ariyalur,2020-08-01,0.0,8.5,21.1,3.01
Ariyalur,2020-08-02,1.3,9.5,22.4,3.2
Ariyalur,2020-08-03,2.0,3.3,24.4,3.49
Ariyalur,2020-08-04,0.0,3.3,22.1,3.16
Ariyalur,2020-08-05,0.2,2.2,12.0,1.71
Ariyalur,2020-08-06,0.2,0.4,11.9,1.7
Ariyalur,2020-08-07,1.2,1.6,4.9,0.7
Ariyalur,2020-08-08,1.4,2.8,6.3,0.9
Ariyalur,2020-08-09,1.1,3.7,6.1,0.87
Ariyalur,2020-08-10,0.8,3.3,4.9,0.7
Ariyalur,2020-08-11,0.4,2.3,5.3,0.76
Ariyalur,2020-08-12,0.0,1.2,5.1,0.73
Ariyalur,2020-08-13,0.0,0.4,4.9,0.7
Ariyalur,2020-08-14,0.0,0.0,3.7,0.53
Ariyalur,2020-08-15,0.0,0.0,2.3,0.33
Ariyalur,2020-08-16,0.0,0.0,1.2,0.17
Ariyalur,2020-08-17,0.0,0.0,0.4,0.06
Ariyalur,2020-08-18,0.8,0.8,0.8,0.11
Ariyalur,2020-08-19,0.2,1.0,1.0,0.14
Ariyalur,2020-08-20,0.0,1.0,1.0,0.14
Ariyalur,2020-08-21,0.6,0.8,1.6,0.23
Ariyalur,2020-08-22,2.8,3.4,4.4,0.63
Ariyalur,2020-08-23,4.4,7.8,8.8,1.26
Ariyalur,2020-08-24,8.0,15.2,16.8,2.4
Ariyalur,2020-08-25,13.9,26.3,29.9,4.27
Ariyalur,2020-08-26,16.1,38.0,45.8,6.54
Ariyalur,2020-08-27,9.2,39.2,55.0,7.86
Ariyalur,2020-08-28,0.0,25.3,54.4,7.77
Ariyalur,2020-08-29,0.1,9.3,51.7,7.39
Ariyalur,2020-08-30,0.9,1.0,48.2,6.89
Ariyalur,2020-08-31,4.7,5.7,44.9,6.41
Ariyalur,2020-09-01,23.1,28.7,54.1,7.73
Ariyalur,2020-09-02,22.5,50.3,60.5,8.64
Ariyalur,2020-09-03,14.2,59.8,65.5,9.36
Ariyalur,2020-09-04,9.0,45.7,74.5,10.64
Ariyalur,2020-09-05,11.6,34.8,86.0,12.29
Ariyalur,2020-09-06,16.3,36.9,101.4,14.49
Ariyalur,2020-09-07,0.1,28.0,96.8,13.83
Ariyalur,2020-09-08,1.4,17.8,75.1,10.73
Ariyalur,2020-09-09,8.4,9.9,61.0,8.71
Ariyalur,2020-09-10,6.6,16.4,53.4,7.63
Ariyalur,2020-09-11,0.4,15.4,44.8,6.4
Ariyalur,2020-09-12,0.4,7.4,33.6,4.8
Ariyalur,2020-09-13,4.9,5.7,22.2,3.17
Ariyalur,2020-09-14,0.1,5.4,22.2,3.17
Ariyalur,2020-09-15,0.3,5.3,21.1,3.01
Ariyalur,2020-09-16,3.2,3.6,15.9,2.27
Ariyalur,2020-09-17,0.0,3.5,9.3,1.33
Ariyalur,2020-09-18,4.2,7.4,13.1,1.87
Ariyalur,2020-09-19,1.9,6.1,14.6,2.09
Ariyalur,2020-09-20,2.0,8.1,11.7,1.67
Ariyalur,2020-09-21,2.4,6.3,14.0,2.0
Ariyalur,2020-09-22,0.0,4.4,13.7,1.96
Ariyalur,2020-09-23,0.1,2.5,10.6,1.51
Ariyalur,2020-09-24,0.2,0.3,10.8,1.54
Ariyalur,2020-09-25,6.4,6.7,13.0,1.86
Ariyalur,2020-09-26,1.0,7.6,12.1,1.73
Ariyalur,2020-09-27,3.8,11.2,13.9,1.99
Ariyalur,2020-09-28,39.1,43.9,50.6,7.23
Ariyalur,2020-09-29,19.7,62.6,70.3,10.04
Ariyalur,2020-09-30,4.7,63.5,74.9,10.7
Ariyalur,2020-10-01,0.0,24.4,74.7,10.67
Ariyalur,2020-10-02,0.4,5.1,68.7,9.81
Ariyalur,2020-10-03,2.1,2.5,69.8,9.97
Ariyalur,2020-10-04,0.2,2.7,66.2,9.46
Ariyalur,2020-10-05,0.0,2.3,27.1,3.87
Ariyalur,2020-10-06,0.6,0.8,8.0,1.14
Ariyalur,2020-10-07,1.5,2.1,4.8,0.69
Ariyalur,2020-10-08,5.2,7.3,10.0,1.43
Ariyalur,2020-10-09,10.3,17.0,19.9,2.84
Ariyalur,2020-10-10,1.9,17.4,19.7,2.81
Ariyalur,2020-10-11,1.4,13.6,20.9,2.99
Ariyalur,2020-10-12,0.0,3.3,20.9,2.99
Ariyalur,2020-10-13,0.0,1.4,20.3,2.9
Ariyalur,2020-10-14,0.0,0.0,18.8,2.69
Ariyalur,2020-10-15,0.0,0.0,13.6,1.94
Ariyalur,2020-10-16,0.9,0.9,4.2,0.6
Ariyalur,2020-10-17,11.6,12.5,13.9,1.99
Ariyalur,2020-10-18,2.5,15.0,15.0,2.14
Ariyalur,2020-10-19,3.9,18.0,18.9,2.7
Ariyalur,2020-10-20,12.4,18.8,31.3,4.47
Ariyalur,2020-10-21,3.2,19.5,34.5,4.93
Ariyalur,2020-10-22,0.1,15.7,34.6,4.94
Ariyalur,2020-10-23,0.2,3.5,33.9,4.84
Ariyalur,2020-10-24,0.1,0.4,22.4,3.2
Ariyalur,2020-10-25,1.1,1.4,21.0,3.0
Ariyalur,2020-10-26,3.1,4.3,20.2,2.89
Ariyalur,2020-10-27,0.0,4.2,7.8,1.11
Ariyalur,2020-10-28,0.1,3.2,4.7,0.67
Ariyalur,2020-10-29,0.2,0.3,4.8,0.69
Ariyalur,2020-10-30,0.9,1.2,5.5,0.79
Ariyalur,2020-10-31,0.0,1.1,5.4,0.77
Ariyalur,2020-11-01,0.0,0.9,4.3,0.61
Ariyalur,2020-11-02,0.0,0.0,1.2,0.17
Ariyalur,2020-11-03,0.6,0.6,1.8,0.26
Ariyalur,2020-11-04,4.8,5.4,6.5,0.93
Ariyalur,2020-11-05,7.2,12.6,13.5,1.93
Ariyalur,2020-11-06,5.3,17.3,17.9,2.56
Ariyalur,2020-11-07,3.2,15.7,21.1,3.01
Ariyalur,2020-11-08,3.9,12.4,25.0,3.57
Ariyalur,2020-11-09,0.0,7.1,25.0,3.57
Ariyalur,2020-11-10,0.0,3.9,24.4,3.49
Ariyalur,2020-11-11,0.0,0.0,19.6,2.8
Ariyalur,2020-11-12,6.2,6.2,18.6,2.66
Ariyalur,2020-11-13,10.5,16.7,23.8,3.4
Ariyalur,2020-11-14,3.3,20.0,23.9,3.41
Ariyalur,2020-11-15,21.7,35.5,41.7,5.96
Ariyalur,2020-11-16,20.7,45.7,62.4,8.91
Ariyalur,2020-11-17,12.7,55.1,75.1,10.73
Ariyalur,2020-11-18,5.2,38.6,80.3,11.47
Ariyalur,2020-11-19,2.0,19.9,76.1,10.87
Ariyalur,2020-11-20,0.6,7.8,66.2,9.46
Ariyalur,2020-11-21,0.0,2.6,62.9,8.99
Ariyalur,2020-11-22,0.0,0.6,41.2,5.89
Ariyalur,2020-11-23,0.0,0.0,20.5,2.93
Ariyalur,2020-11-24,1.4,1.4,9.2,1.31
Ariyalur,2020-11-25,38.3,39.7,42.3,6.04
Ariyalur,2020-11-26,53.3,93.0,93.6,13.37
Ariyalur,2020-11-27,1.6,93.2,94.6,13.51
Ariyalur,2020-11-28,5.7,60.6,100.3,14.33
Ariyalur,2020-11-29,1.5,8.8,101.8,14.54
Ariyalur,2020-11-30,2.6,9.8,104.4,14.91
Ariyalur,2020-12-01,0.0,4.1,103.0,14.71
Ariyalur,2020-12-02,20.1,22.7,84.8,12.11
Ariyalur,2020-12-03,64.8,84.9,96.3,13.76
Ariyalur,2020-12-04,48.2,133.1,142.9,20.41
Ariyalur,2020-12-05,18.2,131.2,155.4,22.2
Ariyalur,2020-12-06,40.3,106.7,194.2,27.74
Ariyalur,2020-12-07,29.5,88.0,221.1,31.59
Ariyalur,2020-12-08,12.5,82.3,233.6,33.37
Ariyalur,2020-12-09,2.6,44.6,216.1,30.87
Ariyalur,2020-12-10,0.9,16.0,152.2,21.74
Ariyalur,2020-12-11,0.0,3.5,104.0,14.86
Ariyalur,2020-12-12,0.6,1.5,86.4,12.34
Ariyalur,2020-12-13,0.2,0.8,46.3,6.61
Ariyalur,2020-12-14,0.1,0.9,16.9,2.41
Ariyalur,2020-12-15,1.0,1.3,5.4,0.77
Ariyalur,2020-12-16,13.9,15.0,16.7,2.39
Ariyalur,2020-12-17,39.4,54.3,55.2,7.89
Ariyalur,2020-12-18,5.3,58.6,60.5,8.64
Ariyalur,2020-12-19,0.2,44.9,60.1,8.59
Ariyalur,2020-12-20,0.1,5.6,60.0,8.57
Ariyalur,2020-12-21,0.1,0.4,60.0,8.57
Ariyalur,2020-12-22,0.0,0.2,59.0,8.43
Ariyalur,2020-12-23,0.0,0.1,45.1,6.44
Ariyalur,2020-12-24,0.0,0.0,5.7,0.81
Ariyalur,2020-12-25,0.0,0.0,0.4,0.06
Ariyalur,2020-12-26,0.0,0.0,0.2,0.03
Ariyalur,2020-12-27,0.0,0.0,0.1,0.01
Ariyalur,2020-12-28,0.0,0.0,0.0,0.0
Ariyalur,2020-12-29,9.8,9.8,9.8,1.4
Ariyalur,2020-12-30,2.0,11.8,11.8,1.69
Ariyalur,2020-12-31,24.6,36.4,36.4,5.2
Ariyalur,2021-01-01,0.8,27.4,37.2,5.31
Ariyalur,2021-01-02,2.2,27.6,39.4,5.63
Ariyalur,2021-01-03,10.7,13.7,50.1,7.16
Ariyalur,2021-01-04,0.7,13.6,50.8,7.26
Ariyalur,2021-01-05,8.7,20.1,49.7,7.1
Ariyalur,2021-01-06,16.7,26.1,64.4,9.2
Ariyalur,2021-01-07,2.8,28.2,42.6,6.09
Ariyalur,2021-01-08,8.4,27.9,50.2,7.17
Ariyalur,2021-01-09,1.5,12.7,49.5,7.07
Ariyalur,2021-01-10,1.9,11.8,40.7,5.81
Ariyalur,2021-01-11,22.7,26.1,62.7,8.96
Ariyalur,2021-01-12,30.0,54.6,84.0,12.0
Ariyalur,2021-01-13,10.0,62.7,77.3,11.04
Ariyalur,2021-01-14,3.3,43.3,77.8,11.11
Ariyalur,2021-01-15,7.8,21.1,77.2,11.03
Ariyalur,2021-01-16,3.1,14.2,78.8,11.26
Ariyalur,2021-01-17,0.0,10.9,76.9,10.99
Ariyalur,2021-01-18,0.0,3.1,54.2,7.74
Ariyalur,2021-01-19,0.3,0.3,24.5,3.5
Ariyalur,2021-01-20,0.3,0.6,14.8,2.11
Ariyalur,2021-01-21,1.1,1.7,12.6,1.8
Ariyalur,2021-01-22,1.0,2.4,5.8,0.83
Ariyalur,2021-01-23,0.2,2.3,2.9,0.41
Ariyalur,2021-01-24,0.0,1.2,2.9,0.41
Ariyalur,2021-01-25,0.2,0.4,3.1,0.44
Ariyalur,2021-01-26,0.0,0.2,2.8,0.4
Ariyalur,2021-01-27,0.0,0.2,2.5,0.36
Ariyalur,2021-01-28,0.2,0.2,1.6,0.23
Ariyalur,2021-01-29,4.7,4.9,5.3,0.76
Ariyalur,2021-01-30,0.0,4.9,5.1,0.73
Ariyalur,2021-01-31,0.1,4.8,5.2,0.74
Ariyalur,2021-02-01,0.0,0.1,5.0,0.71
Ariyalur,2021-02-02,0.0,0.1,5.0,0.71
Ariyalur,2021-02-03,0.0,0.0,5.0,0.71
Ariyalur,2021-02-04,0.0,0.0,4.8,0.69
Ariyalur,2021-02-05,0.0,0.0,0.1,0.01
Ariyalur,2021-02-06,0.0,0.0,0.1,0.01
Ariyalur,2021-02-07,0.0,0.0,0.0,0.0
Ariyalur,2021-02-08,0.0,0.0,0.0,0.0
Ariyalur,2021-02-09,0.0,0.0,0.0,0.0
Ariyalur,2021-02-10,0.0,0.0,0.0,0.0
Ariyalur,2021-02-11,0.0,0.0,0.0,0.0
Ariyalur,2021-02-12,0.0,0.0,0.0,0.0
Ariyalur,2021-02-13,0.0,0.0,0.0,0.0
Ariyalur,2021-02-14,0.0,0.0,0.0,0.0
Ariyalur,2021-02-15,0.0,0.0,0.0,0.0
Ariyalur,2021-02-16,0.0,0.0,0.0,0.0
Ariyalur,2021-02-17,0.0,0.0,0.0,0.0
Ariyalur,2021-02-18,1.9,1.9,1.9,0.27
Ariyalur,2021-02-19,0.7,2.6,2.6,0.37
Ariyalur,2021-02-20,4.8,7.4,7.4,1.06
Ariyalur,2021-02-21,2.7,8.2,10.1,1.44
Ariyalur,2021-02-22,0.5,8.0,10.6,1.51
Ariyalur,2021-02-23,0.0,3.2,10.6,1.51
Ariyalur,2021-02-24,0.0,0.5,10.6,1.51
Ariyalur,2021-02-25,0.0,0.0,8.7,1.24
Ariyalur,2021-02-26,0.0,0.0,8.0,1.14
Ariyalur,2021-02-27,0.0,0.0,3.2,0.46
Ariyalur,2021-02-28,0.0,0.0,0.5,0.07
Ariyalur,2021-03-01,0.0,0.0,0.0,0.0
Ariyalur,2021-03-02,0.0,0.0,0.0,0.0
Ariyalur,2021-03-03,0.0,0.0,0.0,0.0
Ariyalur,2021-03-04,0.0,0.0,0.0,0.0
Ariyalur,2021-03-05,0.0,0.0,0.0,0.0
Ariyalur,2021-03-06,0.0,0.0,0.0,0.0
Ariyalur,2021-03-07,0.0,0.0,0.0,0.0
Ariyalur,2021-03-08,0.0,0.0,0.0,0.0
Ariyalur,2021-03-09,0.5,0.5,0.5,0.07
Ariyalur,2021-03-10,0.9,1.4,1.4,0.2
Ariyalur,2021-03-11,0.1,1.5,1.5,0.21
Ariyalur,2021-03-12,0.0,1.0,1.5,0.21
Ariyalur,2021-03-13,0.0,0.1,1.5,0.21
Ariyalur,2021-03-14,0.0,0.0,1.5,0.21
Ariyalur,2021-03-15,0.0,0.0,1.5,0.21
Ariyalur,2021-03-16,0.0,0.0,1.0,0.14
Ariyalur,2021-03-17,0.0,0.0,0.1,0.01
Ariyalur,2021-03-18,0.0,0.0,0.0,0.0
Ariyalur,2021-03-19,0.0,0.0,0.0,0.0
Ariyalur,2021-03-20,0.0,0.0,0.0,0.0
Ariyalur,2021-03-21,0.0,0.0,0.0,0.0
Ariyalur,2021-03-22,0.0,0.0,0.0,0.0
Ariyalur,2021-03-23,0.0,0.0,0.0,0.0
Ariyalur,2021-03-24,0.0,0.0,0.0,0.0
Ariyalur,2021-03-25,0.0,0.0,0.0,0.0
Ariyalur,2021-03-26,0.0,0.0,0.0,0.0
Ariyalur,2021-03-27,0.0,0.0,0.0,0.0
Ariyalur,2021-03-28,0.0,0.0,0.0,0.0
Ariyalur,2021-03-29,0.0,0.0,0.0,0.0
Ariyalur,2021-03-30,0.0,0.0,0.0,0.0
Ariyalur,2021-03-31,0.0,0.0,0.0,0.0
Ariyalur,2021-04-01,0.2,0.2,0.2,0.03
Ariyalur,2021-04-02,0.0,0.2,0.2,0.03
Ariyalur,2021-04-03,0.0,0.2,0.2,0.03
Ariyalur,2021-04-04,0.0,0.0,0.2,0.03
Ariyalur,2021-04-05,0.0,0.0,0.2,0.03
Ariyalur,2021-04-06,0.6,0.6,0.8,0.11
Ariyalur,2021-04-07,0.0,0.6,0.8,0.11
