District,Date,Rainfall
Coimbatore,2020-04-23,0.0
Coimbatore,2020-04-24,0.3
Coimbatore,2020-04-25,0.1
Coimbatore,2020-04-26,0.6
Coimbatore,2020-04-27,1.2
Coimbatore,2020-04-28,2.3
Coimbatore,2020-04-29,4.4
Coimbatore,2020-04-30,13.2
Coimbatore,2020-05-01,0.1
Coimbatore,2020-05-02,0.3
Coimbatore,2020-05-03,0.0
Coimbatore,2020-05-04,0.0
Coimbatore,2020-05-05,0.0
Coimbatore,2020-05-06,0.0
Coimbatore,2020-05-07,0.1
Coimbatore,2020-05-08,0.1
Coimbatore,2020-05-09,0.2
Coimbatore,2020-05-10,0.0
Coimbatore,2020-05-11,0.4
Coimbatore,2020-05-12,0.8
Coimbatore,2020-05-13,0.1
Coimbatore,2020-05-14,0.4
Coimbatore,2020-05-15,0.5
Coimbatore,2020-05-16,0.8
Coimbatore,2020-05-17,1.5
Coimbatore,2020-05-18,1.3
Coimbatore,2020-05-19,0.9
Coimbatore,2020-05-20,0.4
Coimbatore,2020-05-21,0.0
Coimbatore,2020-05-22,0.4
Coimbatore,2020-05-23,0.2
Coimbatore,2020-05-24,0.4
Coimbatore,2020-05-25,0.5
Coimbatore,2020-05-26,0.9
Coimbatore,2020-05-27,0.6
Coimbatore,2020-05-28,4.1
Coimbatore,2020-05-29,2.2
Coimbatore,2020-05-30,0.3
Coimbatore,2020-05-31,0.3
Coimbatore,2020-06-01,0.3
Coimbatore,2020-06-02,0.5
Coimbatore,2020-06-03,1.5
Coimbatore,2020-06-04,0.9
Coimbatore,2020-06-05,1.0
Coimbatore,2020-06-06,1.2
Coimbatore,2020-06-07,15.8
Coimbatore,2020-06-08,0.0
Coimbatore,2020-06-09,1.0
Coimbatore,2020-06-10,1.2
Coimbatore,2020-06-11,1.0
Coimbatore,2020-06-12,21.3
Coimbatore,2020-06-13,2.3
Coimbatore,2020-06-14,0.4
Coimbatore,2020-06-15,0.0
Coimbatore,2020-06-16,0.1
Coimbatore,2020-06-17,0.3
Coimbatore,2020-06-18,0.0
Coimbatore,2020-06-19,2.4
Coimbatore,2020-06-20,1.4
Coimbatore,2020-06-21,0.0
Coimbatore,2020-06-22,2.3
Coimbatore,2020-06-23,0.1
Coimbatore,2020-06-24,7.0
Coimbatore,2020-06-25,2.3
Coimbatore,2020-06-26,6.2
Coimbatore,2020-06-27,0.0
Coimbatore,2020-06-28,10.5
Coimbatore,2020-06-29,4.9
Coimbatore,2020-06-30,2.4
Coimbatore,2020-07-01,1.1
Coimbatore,2020-07-02,3.2
Coimbatore,2020-07-03,11.3
Coimbatore,2020-07-04,0.2
Coimbatore,2020-07-05,0.2
Coimbatore,2020-07-06,0.2
Coimbatore,2020-07-07,4.6
Coimbatore,2020-07-08,9.7
Coimbatore,2020-07-09,9.5
Coimbatore,2020-07-10,22.6
Coimbatore,2020-07-11,4.9
Coimbatore,2020-07-12,1.0
Coimbatore,2020-07-13,9.1
Coimbatore,2020-07-14,4.9
Coimbatore,2020-07-15,14.0
Coimbatore,2020-07-16,3.9
Coimbatore,2020-07-17,14.4
Coimbatore,2020-07-18,2.2
Coimbatore,2020-07-19,1.8
Coimbatore,2020-07-20,6.5
Coimbatore,2020-07-21,0.2
Coimbatore,2020-07-22,0.5
Coimbatore,2020-07-23,0.0
Coimbatore,2020-07-24,0.1
Coimbatore,2020-07-25,0.0
Coimbatore,2020-07-26,3.5
Coimbatore,2020-07-27,2.3
Coimbatore,2020-07-28,14.0
Coimbatore,2020-07-29,14.7
Coimbatore,2020-07-30,7.5
Coimbatore,2020-07-31,2.1
Coimbatore,2020-08-01,0.6
Coimbatore,2020-08-02,29.5
Coimbatore,2020-08-03,3.9
Coimbatore,2020-08-04,11.9
Coimbatore,2020-08-05,23.4
Coimbatore,2020-08-06,9.7
Coimbatore,2020-08-07,1.1
Coimbatore,2020-08-08,6.1
Coimbatore,2020-08-09,40.1
Coimbatore,2020-08-10,25.7
Coimbatore,2020-08-11,0.5
Coimbatore,2020-08-12,0.0
Coimbatore,2020-08-13,0.0
Coimbatore,2020-08-14,0.0
Coimbatore,2020-08-15,0.0
Coimbatore,2020-08-16,0.0
Coimbatore,2020-08-17,0.3
Coimbatore,2020-08-18,0.7
Coimbatore,2020-08-19,7.1
Coimbatore,2020-08-20,0.3
Coimbatore,2020-08-21,1.1
Coimbatore,2020-08-22,3.2
Coimbatore,2020-08-23,7.2
Coimbatore,2020-08-24,3.1
Coimbatore,2020-08-25,0.0
Coimbatore,2020-08-26,0.3
Coimbatore,2020-08-27,0.0
Coimbatore,2020-08-28,0.0
Coimbatore,2020-08-29,0.2
Coimbatore,2020-08-30,1.3
Coimbatore,2020-08-31,3.6
Coimbatore,2020-09-01,10.1
Coimbatore,2020-09-02,16.7
Coimbatore,2020-09-03,2.2
Coimbatore,2020-09-04,3.8
Coimbatore,2020-09-05,1.4
Coimbatore,2020-09-06,3.4
Coimbatore,2020-09-07,0.1
Coimbatore,2020-09-08,1.4
Coimbatore,2020-09-09,2.3
Coimbatore,2020-09-10,12.6
Coimbatore,2020-09-11,19.8
Coimbatore,2020-09-12,9.8
Coimbatore,2020-09-13,1.5
Coimbatore,2020-09-14,1.1
Coimbatore,2020-09-15,0.9
Coimbatore,2020-09-16,3.6
Coimbatore,2020-09-17,1.0
Coimbatore,2020-09-18,0.0
Coimbatore,2020-09-19,13.4
Coimbatore,2020-09-20,35.1
Coimbatore,2020-09-21,15.3
Coimbatore,2020-09-22,4.6
Coimbatore,2020-09-23,0.1
Coimbatore,2020-09-24,2.4
Coimbatore,2020-09-25,3.4
Coimbatore,2020-09-26,0.3
Coimbatore,2020-09-27,2.7
Coimbatore,2020-09-28,2.3
Coimbatore,2020-09-29,6.0
Coimbatore,2020-09-30,5.0
Coimbatore,2020-10-01,1.7
Coimbatore,2020-10-02,0.0
Coimbatore,2020-10-03,0.0
Coimbatore,2020-10-04,0.0
Coimbatore,2020-10-05,0.0
Coimbatore,2020-10-06,2.9
Coimbatore,2020-10-07,4.2
Coimbatore,2020-10-08,22.3
Coimbatore,2020-10-09,7.6
Coimbatore,2020-10-10,3.3
Coimbatore,2020-10-11,3.0
Coimbatore,2020-10-12,4.5
Coimbatore,2020-10-13,7.2
Coimbatore,2020-10-14,0.5
Coimbatore,2020-10-15,0.9
Coimbatore,2020-10-16,2.1
Coimbatore,2020-10-17,8.5
Coimbatore,2020-10-18,6.9
Coimbatore,2020-10-19,2.9
Coimbatore,2020-10-20,3.5
Coimbatore,2020-10-21,2.6
Coimbatore,2020-10-22,0.0
Coimbatore,2020-10-23,0.0
Coimbatore,2020-10-24,0.0
Coimbatore,2020-10-25,0.0
Coimbatore,2020-10-26,0.8
Coimbatore,2020-10-27,3.7
Coimbatore,2020-10-28,0.1
Coimbatore,2020-10-29,15.3
Coimbatore,2020-10-30,0.4
Coimbatore,2020-10-31,1.0
Coimbatore,2020-11-01,2.0
Coimbatore,2020-11-02,3.9
Coimbatore,2020-11-03,6.4
Coimbatore,2020-11-04,7.0
Coimbatore,2020-11-05,24.1
Coimbatore,2020-11-06,6.0
Coimbatore,2020-11-07,2.5
Coimbatore,2020-11-08,7.6
Coimbatore,2020-11-09,2.4
Coimbatore,2020-11-10,0.0
Coimbatore,2020-11-11,0.0
Coimbatore,2020-11-12,4.5
Coimbatore,2020-11-13,17.8
Coimbatore,2020-11-14,1.3
Coimbatore,2020-11-15,9.0
Coimbatore,2020-11-16,25.3
Coimbatore,2020-11-17,18.8
Coimbatore,2020-11-18,17.3
Coimbatore,2020-11-19,4.5
Coimbatore,2020-11-20,0.8
Coimbatore,2020-11-21,0.0
Coimbatore,2020-11-22,0.0
Coimbatore,2020-11-23,0.0
Coimbatore,2020-11-24,0.0
Coimbatore,2020-11-25,0.0
Coimbatore,2020-11-26,5.9
Coimbatore,2020-11-27,15.3
Coimbatore,2020-11-28,2.3
Coimbatore,2020-11-29,2.6
Coimbatore,2020-11-30,0.0
Coimbatore,2020-12-01,0.0
Coimbatore,2020-12-02,0.0
Coimbatore,2020-12-03,32.8
Coimbatore,2020-12-04,45.9
Coimbatore,2020-12-05,7.9
Coimbatore,2020-12-06,8.2
Coimbatore,2020-12-07,47.0
Coimbatore,2020-12-08,7.1
Coimbatore,2020-12-09,0.1
Coimbatore,2020-12-10,0.7
Coimbatore,2020-12-11,0.0
Coimbatore,2020-12-12,0.1
Coimbatore,2020-12-13,0.0
Coimbatore,2020-12-14,0.1
Coimbatore,2020-12-15,0.0
Coimbatore,2020-12-16,3.5
Coimbatore,2020-12-17,16.6
Coimbatore,2020-12-18,1.7
Coimbatore,2020-12-19,0.8
Coimbatore,2020-12-20,0.0
Coimbatore,2020-12-21,0.0
Coimbatore,2020-12-22,0.6
Coimbatore,2020-12-23,0.3
Coimbatore,2020-12-24,0.0
Coimbatore,2020-12-25,0.0
Coimbatore,2020-12-26,0.0
Coimbatore,2020-12-27,0.0
Coimbatore,2020-12-28,0.0
Coimbatore,2020-12-29,1.0
Coimbatore,2020-12-30,1.5
Coimbatore,2020-12-31,14.8
Coimbatore,2021-01-01,1.0
Coimbatore,2021-01-02,0.2
Coimbatore,2021-01-03,1.6
Coimbatore,2021-01-04,9.4
Coimbatore,2021-01-05,2.5
Coimbatore,2021-01-06,5.2
Coimbatore,2021-01-07,1.0
Coimbatore,2021-01-08,9.4
Coimbatore,2021-01-09,5.7
Coimbatore,2021-01-10,10.4
Coimbatore,2021-01-11,8.6
Coimbatore,2021-01-12,5.9
Coimbatore,2021-01-13,7.1
Coimbatore,2021-01-14,0.4
Coimbatore,2021-01-15,5.0
Coimbatore,2021-01-16,1.5
Coimbatore,2021-01-17,0.2
Coimbatore,2021-01-18,0.0
Coimbatore,2021-01-19,0.0
Coimbatore,2021-01-20,0.0
Coimbatore,2021-01-21,0.3
Coimbatore,2021-01-22,0.7
Coimbatore,2021-01-23,1.4
Coimbatore,2021-01-24,0.0
Coimbatore,2021-01-25,0.1
Coimbatore,2021-01-26,0.0
Coimbatore,2021-01-27,0.0
Coimbatore,2021-01-28,0.0
Coimbatore,2021-01-29,0.0
Coimbatore,2021-01-30,0.0
Coimbatore,2021-01-31,0.0
Coimbatore,2021-02-01,0.0
Coimbatore,2021-02-02,0.0
Coimbatore,2021-02-03,0.0
Coimbatore,2021-02-04,0.0
Coimbatore,2021-02-05,0.0
Coimbatore,2021-02-06,0.0
Coimbatore,2021-02-07,0.0
Coimbatore,2021-02-08,0.0
Coimbatore,2021-02-09,0.0
Coimbatore,2021-02-10,0.0
Coimbatore,2021-02-11,0.0
Coimbatore,2021-02-12,0.0
Coimbatore,2021-02-13,0.0
Coimbatore,2021-02-14,0.0
Coimbatore,2021-02-15,0.0
Coimbatore,2021-02-16,0.8
Coimbatore,2021-02-17,0.2
Coimbatore,2021-02-18,0.3
Coimbatore,2021-02-19,0.0
Coimbatore,2021-02-20,6.0
Coimbatore,2021-02-21,3.7
Coimbatore,2021-02-22,2.3
Coimbatore,2021-02-23,0.7
Coimbatore,2021-02-24,0.0
Coimbatore,2021-02-25,0.0
Coimbatore,2021-02-26,0.0
Coimbatore,2021-02-27,0.0
Coimbatore,2021-02-28,0.0
Coimbatore,2021-03-01,0.0
Coimbatore,2021-03-02,0.0
Coimbatore,2021-03-03,0.0
Coimbatore,2021-03-04,0.0
Coimbatore,2021-03-05,0.0
Coimbatore,2021-03-06,0.0
Coimbatore,2021-03-07,0.0
Coimbatore,2021-03-08,0.0
Coimbatore,2021-03-09,0.0
Coimbatore,2021-03-10,2.4
Coimbatore,2021-03-11,5.7
Coimbatore,2021-03-12,0.0
Coimbatore,2021-03-13,0.0
Coimbatore,2021-03-14,0.0
Coimbatore,2021-03-15,0.0
Coimbatore,2021-03-16,0.0
Coimbatore,2021-03-17,0.0
Coimbatore,2021-03-18,0.0
Coimbatore,2021-03-19,0.0
Coimbatore,2021-03-20,0.0
Coimbatore,2021-03-21,0.0
Coimbatore,2021-03-22,0.0
Coimbatore,2021-03-23,0.0
Coimbatore,2021-03-24,0.0
Coimbatore,2021-03-25,0.0
Coimbatore,2021-03-26,0.0
Coimbatore,2021-03-27,0.0
Coimbatore,2021-03-28,0.0
Coimbatore,2021-03-29,0.0
Coimbatore,2021-03-30,0.0
Coimbatore,2021-03-31,0.0
Coimbatore,2021-04-01,0.3
Coimbatore,2021-04-02,0.0
Coimbatore,2021-04-03,0.0
Coimbatore,2021-04-04,0.0
Coimbatore,2021-04-05,0.0
Coimbatore,2021-04-06,0.7
Coimbatore,2021-04-07,0.0
Coimbatore,2021-04-08,0.0
Coimbatore,2021-04-09,0.0
Coimbatore,2021-04-10,0.0
Coimbatore,2021-04-11,0.3
Coimbatore,2021-04-12,7.1
Coimbatore,2021-04-13,1.5
Coimbatore,2021-04-14,9.5
Coimbatore,2021-04-15,9.7
Coimbatore,2021-04-16,10.2
Coimbatore,2021-04-17,0.4
Coimbatore,2021-04-18,4.4
Coimbatore,2021-04-19,0.5
Coimbatore,2021-04-20,1.0
Coimbatore,2021-04-21,0.1
Coimbatore,2021-04-22,0.2
Coimbatore,2021-04-23,2.1
Coimbatore,2021-04-24,1.8
Coimbatore,2021-04-25,0.1
Coimbatore,2021-04-26,0.2
Coimbatore,2021-04-27,0.1
Coimbatore,2021-04-28,0.2
Coimbatore,2021-04-29,0.0
Coimbatore,2021-04-30,0.5
Coimbatore,2021-05-01,2.5
Coimbatore,2021-05-02,1.3
Coimbatore,2021-05-03,7.6
Coimbatore,2021-05-04,3.4
Coimbatore,2021-05-05,1.7
Coimbatore,2021-05-06,2.7
Coimbatore,2021-05-07,3.8
Coimbatore,2021-05-08,1.2
Coimbatore,2021-05-09,1.6
Coimbatore,2021-05-10,2.7
Coimbatore,2021-05-11,1.0
Coimbatore,2021-05-12,0.1
Coimbatore,2021-05-13,0.0
Coimbatore,2021-05-14,19.3
Coimbatore,2021-05-15,67.6
Coimbatore,2021-05-16,7.8
Coimbatore,2021-05-17,1.8
Coimbatore,2021-05-18,0.2
Coimbatore,2021-05-19,0.1
Coimbatore,2021-05-20,2.4
Coimbatore,2021-05-21,0.3
Coimbatore,2021-05-22,3.2
Coimbatore,2021-05-23,0.6
Coimbatore,2021-05-24,0.0
Coimbatore,2021-05-25,0.0
Coimbatore,2021-05-26,36.7
Coimbatore,2021-05-27,0.0
Coimbatore,2021-05-28,0.0
Coimbatore,2021-05-29,6.8
Coimbatore,2021-05-30,0.0
Coimbatore,2021-05-31,0.0
Coimbatore,2021-06-01,0.1
Coimbatore,2021-06-02,0.7
Coimbatore,2021-06-03,1.5
Coimbatore,2021-06-04,4.3
Coimbatore,2021-06-05,6.9
Coimbatore,2021-06-06,38.1
Coimbatore,2021-06-07,1.6
Coimbatore,2021-06-08,3.1
Coimbatore,2021-06-09,0.0
Coimbatore,2021-06-10,0.0
Coimbatore,2021-06-11,0.0
Coimbatore,2021-06-12,0.6
Coimbatore,2021-06-13,0.4
Coimbatore,2021-06-14,3.5
Coimbatore,2021-06-15,6.2
Coimbatore,2021-06-16,4.2
Coimbatore,2021-06-17,2.1
Coimbatore,2021-06-18,0.2
Coimbatore,2021-06-19,0.0
Coimbatore,2021-06-20,0.0
Coimbatore,2021-06-21,4.9
Coimbatore,2021-06-22,3.7
Coimbatore,2021-06-23,0.7
Coimbatore,2021-06-24,0.4
Coimbatore,2021-06-25,0.0
Coimbatore,2021-06-26,1.2
Coimbatore,2021-06-27,5.3
Coimbatore,2021-06-28,3.0
Coimbatore,2021-06-29,0.0
Coimbatore,2021-06-30,0.0
Coimbatore,2021-07-01,2.1
Coimbatore,2021-07-02,0.3
Coimbatore,2021-07-03,3.7
Coimbatore,2021-07-04,1.0
Coimbatore,2021-07-05,0.3
Coimbatore,2021-07-06,0.6
Coimbatore,2021-07-07,0.8
Coimbatore,2021-07-08,1.9
Coimbatore,2021-07-09,5.3
Coimbatore,2021-07-10,23.9
Coimbatore,2021-07-11,11.7
Coimbatore,2021-07-12,4.5
Coimbatore,2021-07-13,1.9
Coimbatore,2021-07-14,5.0
Coimbatore,2021-07-15,1.1
Coimbatore,2021-07-16,9.4
Coimbatore,2021-07-17,25.6
Coimbatore,2021-07-18,25.4
Coimbatore,2021-07-19,1.4
Coimbatore,2021-07-20,0.0
Coimbatore,2021-07-21,0.7
Coimbatore,2021-07-22,4.0
Coimbatore,2021-07-23,0.9
Coimbatore,2021-07-24,0.5
Coimbatore,2021-07-25,0.5
Coimbatore,2021-07-26,0.8
Coimbatore,2021-07-27,0.0
Coimbatore,2021-07-28,0.0
Coimbatore,2021-07-29,0.0
Coimbatore,2021-07-30,0.0
Coimbatore,2021-07-31,0.4
Coimbatore,2021-08-01,0.0
Coimbatore,2021-08-02,0.0
Coimbatore,2021-08-03,0.3
Coimbatore,2021-08-04,0.6
Coimbatore,2021-08-05,0.1
Coimbatore,2021-08-06,3.7
Coimbatore,2021-08-07,8.3
Coimbatore,2021-08-08,2.5
Coimbatore,2021-08-09,3.7
Coimbatore,2021-08-10,2.5
Coimbatore,2021-08-11,8.1
Coimbatore,2021-08-12,16.4
Coimbatore,2021-08-13,7.6
Coimbatore,2021-08-14,3.2
Coimbatore,2021-08-15,0.1
Coimbatore,2021-08-16,2.1
Coimbatore,2021-08-17,1.1
Coimbatore,2021-08-18,23.1
Coimbatore,2021-08-19,2.2
Coimbatore,2021-08-20,0.4
Coimbatore,2021-08-21,3.7
Coimbatore,2021-08-22,1.4
Coimbatore,2021-08-23,2.6
Coimbatore,2021-08-24,0.2
Coimbatore,2021-08-25,0.1
Coimbatore,2021-08-26,0.0
Coimbatore,2021-08-27,15.6
Coimbatore,2021-08-28,23.6
Coimbatore,2021-08-29,50.6
Coimbatore,2021-08-30,4.7
Coimbatore,2021-08-31,3.3
Coimbatore,2021-09-01,2.7
Coimbatore,2021-09-02,21.2
Coimbatore,2021-09-03,31.0
Coimbatore,2021-09-04,5.1
Coimbatore,2021-09-05,32.7
Coimbatore,2021-09-06,2.5
Coimbatore,2021-09-07,7.6
Coimbatore,2021-09-08,0.3
Coimbatore,2021-09-09,0.7
Coimbatore,2021-09-10,1.1
Coimbatore,2021-09-11,0.0
Coimbatore,2021-09-12,1.8
Coimbatore,2021-09-13,0.6
Coimbatore,2021-09-14,0.1
Coimbatore,2021-09-15,0.3
Coimbatore,2021-09-16,1.3
Coimbatore,2021-09-17,0.1
Coimbatore,2021-09-18,0.2
Coimbatore,2021-09-19,4.3
Coimbatore,2021-09-20,11.8
Coimbatore,2021-09-21,0.2
Coimbatore,2021-09-22,4.5
Coimbatore,2021-09-23,14.4
Coimbatore,2021-09-24,2.6
Coimbatore,2021-09-25,7.7
Coimbatore,2021-09-26,1.7
Coimbatore,2021-09-27,16.7
Coimbatore,2021-09-28,0.4
Coimbatore,2021-09-29,3.4
Coimbatore,2021-09-30,3.9
Coimbatore,2021-10-01,18.3
Coimbatore,2021-10-02,11.3
Coimbatore,2021-10-03,6.8
Coimbatore,2021-10-04,18.5
Coimbatore,2021-10-05,16.6
Coimbatore,2021-10-06,6.2
Coimbatore,2021-10-07,0.2
Coimbatore,2021-10-08,0.4
Coimbatore,2021-10-09,2.2
Coimbatore,2021-10-10,6.3
Coimbatore,2021-10-11,7.1
Coimbatore,2021-10-12,43.7
Coimbatore,2021-10-13,0.3
Coimbatore,2021-10-14,0.0
Coimbatore,2021-10-15,0.0
Coimbatore,2021-10-16,22.5
Coimbatore,2021-10-17,25.5
Coimbatore,2021-10-18,4.6
Coimbatore,2021-10-19,0.1
Coimbatore,2021-10-20,11.7
Coimbatore,2021-10-21,15.1
Coimbatore,2021-10-22,20.0
Coimbatore,2021-10-23,24.1
Coimbatore,2021-10-24,3.8
Coimbatore,2021-10-25,0.5
Coimbatore,2021-10-26,1.7
Coimbatore,2021-10-27,18.1
Coimbatore,2021-10-28,0.3
Coimbatore,2021-10-29,3.9
Coimbatore,2021-10-30,9.0
Coimbatore,2021-10-31,14.0
Coimbatore,2021-11-01,31.0
Coimbatore,2021-11-02,30.2
Coimbatore,2021-11-03,7.9
Coimbatore,2021-11-04,19.3
Coimbatore,2021-11-05,11.9
Coimbatore,2021-11-06,44.0
Coimbatore,2021-11-07,20.0
Coimbatore,2021-11-08,19.7
Coimbatore,2021-11-09,20.3
Coimbatore,2021-11-10,16.8
Coimbatore,2021-11-11,5.3
Coimbatore,2021-11-12,7.6
Coimbatore,2021-11-13,3.5
Coimbatore,2021-11-14,20.8
Coimbatore,2021-11-15,21.6
Coimbatore,2021-11-16,5.9
Coimbatore,2021-11-17,15.4
Coimbatore,2021-11-18,3.4
Coimbatore,2021-11-19,3.5
Coimbatore,2021-11-20,0.1
Coimbatore,2021-11-21,0.0
Coimbatore,2021-11-22,3.0
Coimbatore,2021-11-23,8.3
Coimbatore,2021-11-24,0.5
Coimbatore,2021-11-25,14.0
Coimbatore,2021-11-26,11.3
Coimbatore,2021-11-27,4.1
Coimbatore,2021-11-28,18.2
Coimbatore,2021-11-29,14.0
Coimbatore,2021-11-30,10.6
Coimbatore,2021-12-01,6.2
Coimbatore,2021-12-02,18.2
Coimbatore,2021-12-03,2.3
Coimbatore,2021-12-04,2.5
Coimbatore,2021-12-05,2.2
Coimbatore,2021-12-06,2.0
Coimbatore,2021-12-07,2.0
Coimbatore,2021-12-08,0.3
Coimbatore,2021-12-09,1.7
Coimbatore,2021-12-10,1.2
Coimbatore,2021-12-11,2.1
Coimbatore,2021-12-12,2.0
Coimbatore,2021-12-13,2.0
Coimbatore,2021-12-14,2.7
Coimbatore,2021-12-15,0.0
Coimbatore,2021-12-16,0.0
Coimbatore,2021-12-17,0.0
Coimbatore,2021-12-18,0.0
Coimbatore,2021-12-19,0.0
Coimbatore,2021-12-20,0.0
Coimbatore,2021-12-21,0.0
Coimbatore,2021-12-22,0.2
Coimbatore,2021-12-23,0.0
Coimbatore,2021-12-24,0.0
Coimbatore,2021-12-25,0.0
Coimbatore,2021-12-26,0.0
Coimbatore,2021-12-27,0.2
Coimbatore,2021-12-28,0.0
Coimbatore,2021-12-29,0.2
Coimbatore,2021-12-30,0.6
Coimbatore,2021-12-31,1.3
Coimbatore,2022-01-01,3.2
Coimbatore,2022-01-02,0.0
Coimbatore,2022-01-03,0.0
Coimbatore,2022-01-04,0.0
Coimbatore,2022-01-05,0.0
Coimbatore,2022-01-06,0.0
Coimbatore,2022-01-07,0.1
Coimbatore,2022-01-08,0.0
Coimbatore,2022-01-09,0.2
Coimbatore,2022-01-10,0.0
Coimbatore,2022-01-11,0.0
Coimbatore,2022-01-12,0.2
Coimbatore,2022-01-13,0.0
Coimbatore,2022-01-14,0.0
Coimbatore,2022-01-15,1.1
Coimbatore,2022-01-16,7.3
Coimbatore,2022-01-17,7.9
Coimbatore,2022-01-18,0.1
Coimbatore,2022-01-19,0.0
Coimbatore,2022-01-20,0.0
Coimbatore,2022-01-21,0.0
Coimbatore,2022-01-22,0.0
Coimbatore,2022-01-23,0.0
Coimbatore,2022-01-24,0.0
Coimbatore,2022-01-25,0.0
Coimbatore,2022-01-26,0.0
Coimbatore,2022-01-27,0.0
Coimbatore,2022-01-28,3.5
Coimbatore,2022-01-29,0.0
Coimbatore,2022-01-30,1.4
Coimbatore,2022-01-31,0.1
Coimbatore,2022-02-01,0.0
Coimbatore,2022-02-02,0.0
Coimbatore,2022-02-03,0.0
Coimbatore,2022-02-04,0.0
Coimbatore,2022-02-05,0.0
Coimbatore,2022-02-06,1.0
Coimbatore,2022-02-07,0.0
Coimbatore,2022-02-08,0.0
Coimbatore,2022-02-09,0.0
Coimbatore,2022-02-10,0.0
Coimbatore,2022-02-11,0.0
Coimbatore,2022-02-12,0.0
Coimbatore,2022-02-13,0.0
Coimbatore,2022-02-14,0.0
